	pater	mater	filius	filia
cicero.pro_ligario.tess	0	0	0	0
cicero.pro_m_caelio.tess	2	1	0	0
cicero.pro_marcello.tess	0	0	0	0
cicero.pro_milone.tess	0	0	0	0
cicero.pro_murena.tess	3	0	4	0
cicero.pro_plancio.tess	10	1	2	0
cicero.pro_publio_quinctio.tess	2	0	1	0
cicero.pro_q_roscio_comoedo.tess	0	0	0	0
cicero.pro_rege_deiotaro.tess	2	0	0	0
cicero.pro_s_roscio.tess	9	0	5	1
cicero.pro_scauro.tess	0	0	0	0
cicero.pro_sestio.tess	2	0	2	1
cicero.pro_sulla.tess	4	0	3	0
cicero.pro_tullio.tess	2	0	0	0
cicero.timaeus.tess	0	0	0	0
cicero.topica.tess	1	0	1	0
cicero.tusculanae_disputationes.part.1.tess	1	1	1	1
cicero.tusculanae_disputationes.part.2.tess	0	0	0	0
cicero.tusculanae_disputationes.part.3.tess	0	0	0	0
cicero.tusculanae_disputationes.part.4.tess	1	0	1	0
cicero.tusculanae_disputationes.part.5.tess	1	0	0	1
claudian.carmina_minora.tess	13	6	3	0
claudian.de_bello_gildonico.tess	5	1	0	0
claudian.de_bello_gothico.tess	0	0	0	0
claudian.de_consulatu_stilichonis.part.1.tess	2	0	0	0
claudian.de_consulatu_stilichonis.part.2.tess	0	1	0	0
claudian.de_consulatu_stilichonis.part.3.tess	0	1	0	0
claudian.de_raptu_proserpinae.part.1.tess	1	1	0	0
claudian.de_raptu_proserpinae.part.2.tess	2	1	0	0
claudian.de_raptu_proserpinae.part.3.tess	1	2	0	0
claudian.epithalamium_de_nuptiis_honorii_augusti.tess	0	1	0	0
claudian.in_consulatum_olybrii_et_probini.tess	1	0	0	0
claudian.in_eutropium.part.1.tess	1	1	0	0
claudian.in_eutropium.part.2.tess	3	1	0	0
claudian.in_rufinum.part.1.tess	1	0	0	0
claudian.in_rufinum.part.2.tess	1	0	0	0
claudian.panegyricus_de_quarto_consulatu_honorii_augusti.tess	2	1	0	0
claudian.panegyricus_de_sexto_consulatu_honorii_augusti.tess	1	1	0	0
claudian.panegyricus_de_tertio_consulatu_honorii_augusti.tess	1	0	1	0
claudian.panegyricus_dictus_manlio_theodoro_consuli.tess	0	0	1	0
columella.de_re_rustica.part.1.tess	3	0	0	0
columella.de_re_rustica.part.2.tess	0	0	0	0
columella.de_re_rustica.part.3.tess	1	1	0	0
columella.de_re_rustica.part.4.tess	0	1	0	0
columella.de_re_rustica.part.5.tess	0	0	0	0
columella.de_re_rustica.part.6.tess	0	2	0	0
columella.de_re_rustica.part.7.tess	0	2	0	0
columella.de_re_rustica.part.8.tess	0	1	0	0
columella.de_re_rustica.part.9.tess	0	0	0	0
corippus.johannis.part.1.tess	6	1	0	2
corippus.johannis.part.2.tess	4	0	0	0
corippus.johannis.part.3.tess	3	0	0	0
corippus.johannis.part.4.tess	4	0	0	0
corippus.johannis.part.5.tess	1	1	0	0
corippus.johannis.part.6.tess	5	1	0	0
corippus.johannis.part.7.tess	8	0	0	0
corippus.johannis.part.8.tess	4	0	0	0
curtius_rufus.historiae_alexandri_magni.part.10.tess	0	2	1	0
curtius_rufus.historiae_alexandri_magni.part.3.tess	2	5	3	1
curtius_rufus.historiae_alexandri_magni.part.4.tess	1	2	1	0
