	mode
propertius.elegies.tess	verse
prudentius.apotheosis.tess	verse
prudentius.contra_symmachum.part.1.tess	verse
prudentius.contra_symmachum.part.2.tess	verse
prudentius.dittochaeon.tess	verse
prudentius.epilogus.tess	verse
prudentius.hamartigenia.tess	verse
prudentius.psychomachia.tess	verse
pseudo_cicero.in_sallustium.tess	prose
pseudo_quintilian.major_declamations.tess	prose
q_cicero.on_running_for_consul.tess	prose
quintilian.institutio_oratoria.part.1.tess	prose
quintilian.institutio_oratoria.part.10.tess	prose
quintilian.institutio_oratoria.part.11.tess	prose
quintilian.institutio_oratoria.part.12.tess	prose
quintilian.institutio_oratoria.part.2.tess	prose
quintilian.institutio_oratoria.part.3.tess	prose
quintilian.institutio_oratoria.part.4.tess	prose
quintilian.institutio_oratoria.part.5.tess	prose
quintilian.institutio_oratoria.part.6.tess	prose
quintilian.institutio_oratoria.part.7.tess	prose
quintilian.institutio_oratoria.part.8.tess	prose
quintilian.institutio_oratoria.part.9.tess	prose
rutilius.de_reditu.tess	verse
sallust.catilina.tess	prose
sallust.histories.tess	prose
sallust.jugurtha.tess	prose
scriptores_historiae_augustae.historia_augusta.part.1.books_1-5.tess	prose
scriptores_historiae_augustae.historia_augusta.part.2.books_6-10.tess	prose
scriptores_historiae_augustae.historia_augusta.part.3.books_11-15.tess	prose
scriptores_historiae_augustae.historia_augusta.part.4.books_16-21.tess	prose
seneca.ad_lucilium_epistulae_morales.part.1.1-10.tess	prose
seneca.ad_lucilium_epistulae_morales.part.10.91-100.tess	prose
seneca.ad_lucilium_epistulae_morales.part.11.101-110.tess	prose
seneca.ad_lucilium_epistulae_morales.part.12.111-120.tess	prose
seneca.ad_lucilium_epistulae_morales.part.13.121-124.tess	prose
seneca.ad_lucilium_epistulae_morales.part.2.11-20.tess	prose
seneca.ad_lucilium_epistulae_morales.part.3.21-30.tess	prose
seneca.ad_lucilium_epistulae_morales.part.4.31-40.tess	prose
seneca.ad_lucilium_epistulae_morales.part.5.41-50.tess	prose
seneca.ad_lucilium_epistulae_morales.part.6.51-60.tess	prose
seneca.ad_lucilium_epistulae_morales.part.7.61-70.tess	prose
seneca.ad_lucilium_epistulae_morales.part.8.71-80.tess	prose
seneca.ad_lucilium_epistulae_morales.part.9.81-90.tess	prose
seneca.agamemnon.tess	verse
seneca.apocolocyntosis.tess	mixed
seneca.de_beneficiis.part.1.tess	prose
seneca.de_beneficiis.part.2.tess	prose
seneca.de_beneficiis.part.3.tess	prose
seneca.de_beneficiis.part.4.tess	prose
seneca.de_beneficiis.part.5.tess	prose
seneca.de_beneficiis.part.6.tess	prose
seneca.de_beneficiis.part.7.tess	prose
seneca.de_brevitate_vitae.tess	prose
seneca.de_clementia.tess	prose
seneca.de_consolatione_ad_helviam.tess	prose
seneca.de_consolatione_ad_marciam.tess	prose
seneca.de_consolatione_ad_polybium.tess	prose
seneca.de_constantia.tess	prose
seneca.de_ira.tess	prose
